City,id,zip,lat,lon,cdd Jan,hdd Jan,cdd Feb,hdd Feb,cdd Mar,hdd Mar,cdd Apr,hdd Apr,cdd May,hdd May,cdd Jun,hdd Jun,cdd Jul,hdd Jul,cdd Aug,hdd Aug,cdd Sep,hdd Sep,cdd Oct,hdd Oct,cdd Nov,hdd Nov,cdd Dec,hdd Dec,zip,lat,lon,cdd Jan 2021,cdd Feb 2021,cdd Mar 2021,cdd Apr 2021,cdd May 2021,cdd Jun 2021,cdd Jul 2021,cdd Aug 2021,cdd Sep 2021,cdd Oct 2021,cdd Nov 2021,cdd Dec 2021,cdd Jan 2022,cdd Feb 2022,cdd Mar 2022,cdd Apr 2022,cdd May 2022,cdd Jun 2022,cdd Jul 2022,cdd Aug 2022,cdd Sep 2022,cdd Oct 2022,cdd Nov 2022,cdd Dec 2022,cdd Jan 2023,cdd Feb 2023,cdd Mar 2023,cdd Apr 2023,cdd May 2023,cdd Jun 2023,cdd Jul 2023,cdd Aug 2023,cdd Sep 2023,cdd Oct 2023,cdd Nov 2023,cdd Dec 2023,hdd Jan 2021,hdd Feb 2021,hdd Mar 2021,hdd Apr 2021,hdd May 2021,hdd Jun 2021,hdd Jul 2021,hdd Aug 2021,hdd Sep 2021,hdd Oct 2021,hdd Nov 2021,hdd Dec 2021,hdd Jan 2022,hdd Feb 2022,hdd Mar 2022,hdd Apr 2022,hdd May 2022,hdd Jun 2022,hdd Jul 2022,hdd Aug 2022,hdd Sep 2022,hdd Oct 2022,hdd Nov 2022,hdd Dec 2022,hdd Jan 2023,hdd Feb 2023,hdd Mar 2023,hdd Apr 2023,hdd May 2023,hdd Jun 2023,hdd Jul 2023,hdd Aug 2023,hdd Sep 2023,hdd Oct 2023,hdd Nov 2023,hdd Dec 2023
"JUNEAU, AK",10,99801,58.58,-134.77,0,983,0,975,0,968,0,742,0,490,2,259,3,187,2,246,0,417,0,667,0,936,0,1225,99801,58.58,-134.77,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,955,1089,988,734,526,248,179,239,423,726,893,1338,1058,855,868,763,487,239,248,211,381,580,968,1220,935,980,1048,730,458,291,133,287,446,696,947,1117
"KENAI, AK",11,99611,60.66,-150.9,0,1347,0,1265,0,1309,0,951,0,587,0,367,0,297,0,332,0,527,0,902,0,1372,0,1572,99611,60.66,-150.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,1417,1522,937,605,373,284,343,578,856,1520,1578,1432,1085,1078,896,543,323,280,314,463,899,1311,1641,1284,1293,1328,1020,612,404,327,339,540,951,1286,1497
"KETCHIKAN, AK",12,99901,55.61,-131.58,0,838,0,820,0,826,0,661,0,447,9,243,11,151,4,161,0,325,0,561,0,773,0,1050,99901,55.61,-131.58,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,837,896,854,635,483,235,148,180,362,619,709,1190,886,738,765,684,508,252,199,102,260,469,831,1054,790,826,860,665,349,243,107,202,354,594,778,905
"KING SALMON, AK",13,99613,58.75,-156.54,0,1380,0,1145,0,1274,0,975,0,601,5,334,0,275,0,337,0,552,0,920,0,1400,0,1417,99613,58.75,-156.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,1228,1389,913,617,399,294,376,634,918,1813,1403,1556,961,1134,887,568,276,310,319,506,862,1139,1368,1273,1247,1300,1125,619,327,221,315,517,980,1249,1480
"KODIAK, AK",14,99615,57.79,-152.4,0,980,0,874,0,952,0,803,0,606,0,378,3,285,0,263,0,430,0,680,0,990,0,1019,99615,57.79,-152.4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,906,993,774,624,405,273,261,443,645,1163,1025,1052,775,875,788,531,287,273,226,382,632,878,970,947,941,987,848,663,443,308,301,464,763,929,1061
"KOTZEBUE, AK",15,99752,67.24,-161.19,0,2082,0,2051,0,1901,0,1574,0,1020,0,551,2,322,4,446,0,666,0,1218,0,1770,0,1934,99752,67.24,-161.19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1961,2188,2023,1502,950,485,333,467,721,1188,2070,1990,2386,2012,1817,1381,1030,579,413,479,591,1175,1542,1792,1898,1953,1864,1840,1080,590,221,392,685,1290,1697,2021
"MC GRATH, AK",16,99627,63.61,-154.78,0,1912,0,1760,0,1628,0,1152,0,494,15,172,22,158,10,309,0,591,0,1145,0,1830,0,2037,99627,63.61,-154.78,0,0,0,0,0,43,25,30,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1971,1891,1742,1084,494,105,144,297,652,1125,2035,1768,1871,1651,1537,1001,440,162,190,321,514,1083,1684,2203,1894,1737,1605,1371,548,248,140,310,606,1226,1770,2141
"NOME, AK",17,99762,64.71,-164.62,0,1829,0,1683,0,1650,0,1355,0,796,0,477,0,399,1,453,0,624,0,1069,0,1510,0,1677,99762,64.71,-164.62,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1714,1760,1802,1282,681,490,428,477,671,1074,1800,1739,1975,1568,1485,1108,794,414,401,443,546,1011,1293,1544,1798,1722,1663,1676,914,528,369,439,655,1121,1437,1748
"NORTHWAY, AK",18,99764,63.0,-141.69,0,2273,0,1959,0,1747,0,1202,0,564,5,183,29,111,4,307,0,659,0,1301,0,2051,0,2357,99764,63.0,-141.69,0,0,0,0,0,2,10,12,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,0,2232,2166,1872,1160,530,194,121,312,719,1311,2196,2237,2440,1820,1652,1216,598,165,169,290,580,1242,1921,2410,2147,1890,1717,1231,564,189,44,319,678,1351,2037,2423
"SAINT PAUL ISLAND, AK",19,99660,57.18,-170.26,0,1163,0,964,0,1103,0,955,0,834,0,631,0,523,0,495,0,574,0,804,0,963,0,1019,99660,57.18,-170.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,778,996,797,714,604,512,453,563,797,1075,967,1305,1077,1225,1028,892,639,555,522,566,792,858,971,1161,1036,1087,1040,897,650,501,510,594,824,957,1120
